gen,best_fitness,avg_fitness,time
0,0.2952,0.1341,18.13
1,0.4286,0.1369,17.57
2,0.4247,0.1323,17.39
3,0.3648,0.1604,17.27
4,0.3032,0.1424,17.33
5,0.3375,0.1291,17.16
6,0.4344,0.1401,17.10
7,0.4597,0.1535,16.99
8,0.5633,0.1848,17.61
9,0.4612,0.1586,17.99
10,0.5767,0.1939,18.63
11,0.5747,0.2293,17.68
12,0.6839,0.2185,17.22
13,0.7043,0.3171,17.43
14,0.7405,0.3475,17.25
15,0.7862,0.4391,17.84
16,0.8358,0.4864,17.56
17,0.8761,0.5113,17.36
18,0.8887,0.5185,17.42
19,0.8720,0.5512,17.27
20,0.9170,0.5895,18.64
21,0.9102,0.5632,18.25
22,0.9034,0.5580,18.14
23,0.8709,0.5782,17.30
24,0.8905,0.5919,18.28
25,0.8896,0.6815,17.24
26,0.8903,0.6317,16.69
27,0.9067,0.6192,16.66
28,0.8953,0.5884,16.83
29,0.9041,0.6660,17.07
30,0.9430,0.6557,18.52
31,0.9039,0.6673,16.88
32,0.9333,0.6480,16.94
33,0.9221,0.7241,16.89
